"ANONID" "SUBJECT" "CATALOG_NBR" "GRD_PTS_PER_UNIT" "GPAO" "DIV" "ANON_INSTR_ID" "TERM" "MAJOR3_DESCR" "MAJOR2_DESCR" "MAJOR1_DESCR" "HSGPA" "LAST_ACT_ENGL_SCORE" "LAST_ACT_MATH_SCORE" "LAST_ACT_READ_SCORE" "LAST_ACT_SCIRE_SCORE" "LAST_ACT_COMP_SCORE" "LAST_SATI_VERB_SCORE" "LAST_SATI_MATH_SCORE" "LAST_SATI_TOTAL_SCORE" "SEX" "STDNT_GROUP1" "STDNT_GROUP2" "MAJOR1_DEPT" "MAJOR2_DEPT" "MAJOR3_DEPT" "ADMIT_TERM" "MAJOR1_TERM" "MAJOR2_TERM" "MAJOR3_TERM"
"10681" 137586 "STATS" 250 4 3.82413793103448 "S" 1260 130 NA NA NA 4 34 31 NA NA 33 640 780 1420 "F" NA NA NA NA NA 126 NA NA NA
"10682" 137594 "STATS" 250 0 2.16551724137931 "S" 1802 130 NA NA NA 3.8 32 23 29 24 27 NA NA NA "F" "E" NA NA NA NA 126 NA NA NA
"10683" 137598 "STATS" 250 3.7 3.43333333333333 "S" 1446 134 NA NA NA 3.8 30 34 36 34 34 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"10684" 137604 "STATS" 250 3.7 3.38727272727273 "S" 1260 119 NA "Political Science BA" "Economics BA" 3.7 32 30 32 34 32 NA NA NA "F" NA NA "Economics Department" "Political Science Department" NA 118 131 131 NA
"10685" 137618 "STATS" 250 2 3.46206896551724 "S" 1260 134 NA NA NA 3.9 31 34 33 30 32 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"10686" 137621 "STATS" 250 1.7 3.02142857142857 "S" 1260 118 NA NA "Psychology BA" 3.83 35 26 26 29 29 NA NA NA "F" NA NA "Psychology Department" NA NA 118 131 NA NA
"10687" 137652 "STATS" 250 4 3.57205882352941 "S" 386 131 NA NA NA 3.2 28 34 30 29 30 630 750 1380 "M" NA NA NA NA NA 126 NA NA NA
"10688" 137670 "STATS" 250 3.7 3.56 "S" 386 134 NA NA NA 4 31 27 31 27 29 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10689" 137694 "STATS" 250 1.3 2.68378378378378 "S" 1260 123 NA NA NA 0 30 24 26 28 27 NA NA NA "F" NA NA NA NA NA 127 NA NA NA
"10690" 137700 "STATS" 250 4 3.72857142857143 "S" 71 130 NA NA NA 0 34 35 NA NA 34 780 760 1540 "F" NA NA NA NA NA 130 NA NA NA
"10691" 137730 "STATS" 250 3.7 3.508 "S" 386 131 NA NA NA 0 30 35 33 28 31 690 700 1390 "M" NA NA NA NA NA 130 NA NA NA
"10692" 137739 "STATS" 250 3 3.73421052631579 "S" 1260 118 NA NA "Spanish BA" 4 26 25 30 27 27 NA NA NA "F" NA NA "Romance Languages Department" NA NA 114 126 NA NA
"10693" 137755 "STATS" 250 4 3.945 "S" 71 131 NA NA NA 3.9 35 34 35 34 35 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"10694" 137762 "STATS" 250 3 3.31898734177215 "S" 1260 118 NA NA "Biopsych, Cognit & Neurosci BS" 4 26 30 26 25 27 NA NA NA "F" NA NA "Psychology Department" NA NA 114 126 NA NA
"10695" 137778 "STATS" 250 0 2.28292682926829 "S" 386 119 NA NA "Political Science BA" 3.7 27 28 26 29 27 NA NA NA "M" NA NA "Political Science Department" NA NA 114 127 NA NA
"10696" 137784 "STATS" 250 2 2.80149253731343 "S" 1260 135 NA NA NA 3.6 24 26 22 25 24 530 490 1020 "M" "E" "D" NA NA NA 129 NA NA NA
"10697" 137829 "STATS" 250 3 3.44545454545455 "S" 1802 130 NA NA NA 3.8 31 27 31 26 29 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10698" 137831 "STATS" 250 3.7 3.94146341463415 "S" 1260 122 NA NA "Biopsych, Cognit & Neurosci BA" 0 NA NA NA NA NA NA NA NA "F" NA NA "Psychology Department" NA NA 122 135 NA NA
"10699" 137834 "STATS" 250 3.3 3.1 "S" 386 130 NA NA NA 3.9 23 27 26 27 26 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10700" 137837 "STATS" 250 4 3.94 "S" 1260 118 NA "Women's Studies BA" "Psychology BA" 3.9 29 28 34 25 29 NA NA NA "F" NA NA "Psychology Department" "Women's Studies Department" NA 118 131 131 NA
"10701" 137843 "STATS" 250 2.7 3.484 "S" 1802 126 NA NA "Sport Management BA" 4 25 26 23 24 24 NA NA NA "M" NA NA "School Of Kinesiology" NA NA 122 135 NA NA
"10702" 137854 "STATS" 250 2.3 3.18333333333333 "S" 1260 127 NA NA "International Studies BA" 3.4 29 23 NA NA 25 560 510 1070 "M" NA NA "International Institute" NA NA 122 135 NA NA
"10703" 137860 "STATS" 250 3.7 3.26551724137931 "S" 386 134 NA NA NA 4 33 32 30 27 31 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"10704" 137872 "STATS" 250 4 3.84285714285714 "S" 71 135 NA NA NA 4 33 29 26 24 28 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"10705" 137886 "STATS" 250 3.3 3.30375 "S" 1802 127 NA NA NA 3.5 32 28 33 27 30 NA NA NA "F" NA NA NA NA NA 122 NA NA NA
"10706" 137889 "STATS" 250 3.7 2.8953488372093 "S" 386 131 NA NA NA 0 26 32 26 28 28 NA NA NA "M" NA NA NA NA NA 131 NA NA NA
"10707" 137896 "STATS" 250 2.3 2.5 "S" 1260 119 NA NA "Cellular & Molec Biology BS" 3.9 24 26 24 29 26 NA NA NA "F" "E" NA "Molecular, Cellular, and Developmental Biology" NA NA 118 130 NA NA
"10708" 137921 "STATS" 250 4 4 "S" 1260 130 NA NA NA 3.8 32 32 31 32 32 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"10709" 137929 "STATS" 250 1.7 2.77575757575758 "S" 386 135 NA NA NA 0 19 21 NA NA 26 450 570 1020 "M" NA NA NA NA NA 130 NA NA NA
"10710" 137952 "STATS" 250 3.7 3.62790697674419 "S" 1260 135 NA NA NA 3.7 33 30 26 28 30 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"10711" 137979 "STATS" 250 2.7 3.17941176470588 "S" 386 130 NA NA "Spanish BS" 3.93 26 29 29 34 29 NA NA NA "F" "E" NA "Romance Languages Department" NA NA 118 131 NA NA
"10712" 137995 "STATS" 250 4 3.88297872340426 "S" 386 131 NA NA NA 4 33 31 34 33 33 NA NA NA "F" NA "G" NA NA NA 130 NA NA NA
"10713" 138003 "STATS" 250 3.7 3.63863636363636 "S" 1260 119 NA NA "Biochemistry BS" 3.79 33 32 30 32 32 630 680 1310 "F" NA "G" "Chemistry Department" NA NA 118 131 NA NA
"10714" 138006 "STATS" 250 4.4 2.92692307692308 "S" 1260 134 NA NA NA 0 34 35 31 31 33 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"10715" 138008 "STATS" 250 2.3 2.37884615384615 "S" 1260 130 NA NA NA 3.9 34 35 33 32 34 740 750 1490 "M" NA NA NA NA NA 122 NA NA NA
"10716" 138011 "STATS" 250 2 3.03333333333333 "S" 1260 122 NA NA "History BA" 3.95 27 27 29 27 28 NA NA NA "F" NA NA "History Department" NA NA 118 131 NA NA
"10717" 138023 "STATS" 250 2.3 2.28484848484849 "S" 386 123 NA NA "Biology BS" 4 23 34 NA NA 28 500 790 1290 "F" NA NA "Biology Department" NA NA 114 127 NA NA
"10718" 138067 "STATS" 250 4 3.07777777777778 "S" 1802 130 NA NA NA 3.8 34 25 29 25 28 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"10719" 138068 "STATS" 250 3.3 3.64137931034483 "S" 1446 131 NA NA NA 3.8 35 36 35 35 35 NA NA NA "M" NA "G" NA NA NA 130 NA NA NA
"10720" 138069 "STATS" 250 1 2.35 "S" 1260 127 NA NA NA 3.2 32 29 32 24 29 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"10721" 138069 "STATS" 250 1.7 2.05161290322581 "S" 1446 135 NA NA NA 3.2 32 29 32 24 29 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"10722" 138106 "STATS" 250 4 3.83137254901961 "S" 1260 127 NA NA NA 3.7 36 29 33 27 32 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10723" 138121 "STATS" 250 4 3.68301886792453 "S" 386 127 NA NA NA 3.9 29 27 32 28 29 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10724" 138141 "STATS" 250 4 3.57857142857143 "S" 386 135 NA NA NA 3.8 29 33 36 34 33 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"10725" 138155 "STATS" 250 2.3 2.78717948717949 "S" 386 131 NA NA NA 3.9 31 29 30 25 29 610 650 1260 "F" "B" "C" NA NA NA 126 NA NA NA
"10726" 138165 "STATS" 250 3.7 3.89090909090909 "S" 1260 119 NA NA "Ecology & Evolut Biology BS" 4 27 28 20 28 26 NA NA NA "M" NA NA "Ecology & Evolutionary Biology" NA NA 118 131 NA NA
"10727" 138178 "STATS" 250 4 4 "S" 1260 127 NA NA NA 4 32 32 30 31 32 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"10728" 138180 "STATS" 250 3.7 3.38148148148148 "S" 1260 131 NA NA NA 3.7 31 29 32 31 31 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"10729" 138185 "STATS" 250 3.3 2.98070175438597 "S" 1260 126 NA "Economics BS" "Statistics BS" 0 NA NA NA NA NA NA NA NA "F" NA NA "Statistics Department" "Economics Department" NA 122 131 131 NA
"10730" 138207 "STATS" 250 3 4.24666666666667 "S" 1446 135 NA NA NA 3.9 35 30 31 25 30 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"10731" 138217 "STATS" 250 1 2.47435897435897 "S" 1260 118 NA NA NA 3.8 30 24 NA NA 28 640 620 1260 "F" NA NA NA NA NA 110 NA NA NA
"10732" 138218 "STATS" 250 2.7 3.00892857142857 "S" 1260 134 NA NA NA 3.9 31 24 30 28 28 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"10733" 138228 "STATS" 250 4 3.54259259259259 "S" 386 122 NA NA "Biopsych, Cognit & Neurosci BS" 4 32 35 NA NA 30 600 740 1340 "F" NA NA "Psychology Department" NA NA 114 127 NA NA
"10734" 138235 "STATS" 250 3 2.72608695652174 "S" 1260 118 NA NA NA 4 31 29 29 28 29 550 610 1160 "M" NA NA NA NA NA 114 NA NA NA
"10735" 138237 "STATS" 250 3 2.9546875 "S" 386 127 NA NA "Environment BS" 0 NA NA NA NA NA NA NA NA "M" NA NA "Program in the Environment" NA NA 122 131 NA NA
"10736" 138245 "STATS" 250 3 3.4775 "S" 386 127 NA NA "Public Policy BA" 3.9 30 26 33 27 29 NA NA NA "F" NA NA "School Of Public Policy" NA NA 122 135 NA NA
"10737" 138247 "STATS" 250 4 4 "S" 1260 118 NA "Statistics BS" "Mathematics BS" 4 28 33 NA NA 28 520 790 1310 "F" NA NA "Mathematics Department" "Statistics Department" NA 118 129 129 NA
"10738" 138250 "STATS" 250 3.7 3.10327868852459 "S" 386 131 NA NA NA 3.9 28 34 NA NA 28 590 680 1270 "F" NA NA NA NA NA 126 NA NA NA
"10739" 138267 "STATS" 250 2.7 2.36203703703704 "S" 386 135 NA NA NA 0 34 32 NA NA 32 760 670 1430 "M" NA NA NA NA NA 130 NA NA NA
"10740" 138283 "STATS" 250 3.3 3.38285714285714 "S" 386 123 NA NA "Business Administration BBA" 3.8 30 29 29 24 28 NA NA NA "F" NA NA "School of Business Administration" NA NA 110 123 NA NA
"10741" 138294 "STATS" 250 2.3 3.18571428571429 "S" 386 135 NA NA NA 0 23 23 26 21 23 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"10742" 138297 "STATS" 250 3.3 3.16333333333333 "S" 1802 126 NA NA "Cellular & Molec Biology BS" 3.9 31 31 NA NA 29 560 660 1220 "F" "E" NA "Molecular, Cellular, and Developmental Biology" NA NA 122 135 NA NA
"10743" 138301 "STATS" 250 4 3.81428571428571 "S" 1260 119 NA NA "Business Administration BBA" 3.4 33 33 29 30 31 570 700 1270 "M" NA NA "School of Business Administration" NA NA 118 131 NA NA
"10744" 138305 "STATS" 250 4.4 4.22857142857143 "S" 1260 118 NA "Organizational Studies BA" "Business Administration BBA" 4 33 36 34 31 34 740 740 1480 "M" NA NA "School of Business Administration" "Organizational Studies" NA 114 130 130 NA
"10745" 138312 "STATS" 250 3.7 3.00833333333333 "S" 386 135 NA NA NA 0 NA NA NA NA NA NA NA NA "F" NA NA NA NA NA 134 NA NA NA
"10746" 138324 "STATS" 250 4 3.7037037037037 "S" 1260 131 NA NA NA 3.9 33 33 31 32 33 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"10747" 138336 "STATS" 250 3.7 3.29333333333333 "S" 386 118 NA NA "Neuroscience BS" 3.9 32 33 29 29 31 590 650 1240 "F" NA "G" "Molecular, Cellular, and Developmental Biology" NA NA 114 127 NA NA
"10748" 138343 "STATS" 250 3.3 3.08205128205128 "S" 1802 122 NA "Psychology BA" "Communication BA" 3.92 33 30 28 30 30 NA NA NA "F" NA NA "Communication Studies" "Psychology Department" NA 118 131 131 NA
"10749" 138374 "STATS" 250 3.3 3.27551020408163 "S" 386 135 NA NA NA 3.9 30 34 31 33 32 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"10750" 138398 "STATS" 250 3.3 3.66428571428571 "S" 1260 134 NA NA NA 4 29 27 NA NA 30 650 630 1280 "F" NA NA NA NA NA 130 NA NA NA
"10751" 138455 "STATS" 250 2.7 3.43846153846154 "S" 1260 127 NA NA NA 3.9 30 27 25 29 28 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10752" 138456 "STATS" 250 3.3 3.44074074074074 "S" 386 130 NA NA NA 4 30 29 27 28 28 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10753" 138461 "STATS" 250 3.3 3.75 "S" 1260 135 NA NA NA 3.9 33 30 NA NA 30 720 710 1430 "F" NA "G" NA NA NA 134 NA NA NA
"10754" 138465 "STATS" 250 3 2.45901639344262 "S" 1260 126 NA NA NA 3.7 30 30 NA NA 32 570 660 1230 "F" NA NA NA NA NA 122 NA NA NA
"10755" 138492 "STATS" 250 4 4 "S" 71 131 NA NA NA 4 30 33 NA NA 31 610 740 1350 "F" NA NA NA NA NA 131 NA NA NA
"10756" 138503 "STATS" 250 3.7 3.03181818181818 "S" 386 123 NA NA "Economics BA" 3.9 34 28 NA NA 30 660 610 1270 "F" NA NA "Economics Department" NA NA 114 127 NA NA
"10757" 138574 "STATS" 250 3.7 3.7027027027027 "S" 1260 130 NA NA NA 3.9 35 30 NA NA 33 710 760 1470 "M" NA NA NA NA NA 130 NA NA NA
"10758" 138580 "STATS" 250 3.3 3.27321428571429 "S" 1260 127 NA NA NA 3.8 25 28 27 27 27 590 650 1240 "F" NA NA NA NA NA 126 NA NA NA
"10759" 138581 "STATS" 250 4 3.74807692307692 "S" 1260 119 NA NA "Business Administration BBA" 3.94 26 28 24 27 26 NA NA NA "M" NA NA "School of Business Administration" NA NA 118 131 NA NA
"10760" 138611 "STATS" 250 3.7 3.46976744186046 "S" 386 130 NA NA "Political Science BA" 3.7 31 26 24 25 26 NA NA NA "F" NA NA "Political Science Department" NA NA 122 135 NA NA
"10761" 138620 "STATS" 250 4 3.7725 "S" 386 119 NA "Women's Studies BA" "Political Science BA" 3.9 30 26 29 26 28 NA NA NA "F" NA NA "Political Science Department" "Women's Studies Department" NA 114 127 127 NA
"10762" 138634 "STATS" 250 3.7 3.45764705882353 "S" 386 127 NA NA "Environment BS" 4 32 25 28 26 28 NA NA NA "F" NA "G" "Program in the Environment" NA NA 118 131 NA NA
"10763" 138644 "STATS" 250 3.7 3.64202898550725 "S" 386 131 NA NA "Public Policy BA" 4 27 27 33 25 28 NA NA NA "F" NA NA "School Of Public Policy" NA NA 118 131 NA NA
"10764" 138659 "STATS" 250 1.7 2.70555555555556 "S" 386 123 NA NA NA 0 NA NA NA NA NA NA NA NA "F" NA NA NA NA NA 121 NA NA NA
"10765" 138669 "STATS" 250 2 2.9 "S" 1260 119 NA NA "Screen Arts & Cultures BA" 3.8 33 35 35 32 34 NA NA NA "M" NA NA "Screen Arts and Cultures" NA NA 118 131 NA NA
"10766" 138685 "STATS" 250 2 3.02545454545454 "S" 386 134 NA NA "Computer Science BS" 3.9 27 25 25 26 26 NA NA NA "F" NA NA "Program In Computer Science" NA NA 122 135 NA NA
"10767" 138701 "STATS" 250 2.7 3.53095238095238 "S" 1260 119 NA NA "Nursing BS Fresh" 3.8 32 24 26 23 27 NA NA NA "F" NA NA "School Of Nursing" NA NA 114 127 NA NA
"10768" 138712 "STATS" 250 3.7 3.53103448275862 "S" 1260 134 NA NA NA 4 30 32 28 35 31 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"10769" 138716 "STATS" 250 2.7 3.51388888888889 "S" 1260 134 NA NA NA 3.9 20 29 23 26 24 NA NA NA "M" "D" "E" NA NA NA 129 NA NA NA
"10770" 138725 "STATS" 250 3.3 3.7046511627907 "S" 386 119 NA NA "Nursing BS Fresh" 0 34 33 27 29 31 NA NA NA "F" NA NA "School Of Nursing" NA NA 114 127 NA NA
"10771" 138728 "STATS" 250 1.7 3.33965517241379 "S" 1260 131 NA NA NA 0 21 26 NA NA 23 510 590 1100 "M" NA NA NA NA NA 123 NA NA NA
"10772" 138728 "STATS" 250 3 3.075 "S" 1802 130 NA NA NA 0 21 26 NA NA 23 510 590 1100 "M" NA NA NA NA NA 123 NA NA NA
"10773" 138733 "STATS" 250 4 3.30769230769231 "S" 386 122 NA "Biopsych, Cognit & Neurosci BS" "Political Science BS" 3.9 27 36 32 30 32 680 670 1350 "F" NA "G" "Political Science Department" "Psychology Department" NA 118 131 131 NA
"10774" 138759 "STATS" 250 2.4 2.62716049382716 "S" 386 123 NA NA "Biochemistry BS" 0 22 26 24 28 25 NA NA NA "M" NA NA "Chemistry Department" NA NA 118 130 NA NA
"10775" 138759 "STATS" 250 2.7 2.8 "S" 1260 119 NA NA "Biochemistry BS" 0 22 26 24 28 25 NA NA NA "M" NA NA "Chemistry Department" NA NA 118 130 NA NA
"10776" 138777 "STATS" 250 2.3 3.30857142857143 "S" 1260 131 NA NA NA 3.9 32 34 NA NA 30 660 760 1420 "F" NA NA NA NA NA 130 NA NA NA
"10777" 138793 "STATS" 250 3 2.90175438596491 "S" 1260 126 NA "Informatics BA" "Program in Entrepreneurship" 3.7 31 28 25 28 28 NA NA NA "M" NA NA "CoE Ctr for Entrepreneurship" "Statistics Department" NA 122 135 135 NA
"10778" 138806 "STATS" 250 4 3.87142857142857 "S" 386 127 NA NA "Environment BS" 3.6 33 29 NA NA 28 660 710 1370 "F" NA NA "Program in the Environment" NA NA 122 135 NA NA
"10779" 138833 "STATS" 250 2.3 2.77368421052632 "S" 71 135 NA NA NA 3.7 33 35 33 35 34 670 800 1470 "M" NA NA NA NA NA 134 NA NA NA
"10780" 138862 "STATS" 250 4 4 "S" 1260 118 NA NA "Sport Management BA" 4 32 33 28 29 31 NA NA NA "F" NA NA "School Of Kinesiology" NA NA 118 131 NA NA
"10781" 138864 "STATS" 250 3.7 3.46666666666667 "S" 386 130 NA NA NA 3.9 33 34 30 23 30 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10782" 138868 "STATS" 250 4 3.88271604938272 "S" 386 134 NA NA NA 4 28 31 NA NA 34 720 720 1440 "F" NA "G" NA NA NA 130 NA NA NA
"10783" 138928 "STATS" 250 1 2.08888888888889 "S" 1260 123 NA NA NA 0 19 23 20 23 21 450 550 1000 "M" "E" NA NA NA NA 102 NA NA NA
"10784" 138930 "STATS" 250 3.3 3.49223300970874 "S" 1260 127 NA NA NA 4 34 33 32 33 33 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10785" 138937 "STATS" 250 0 3.27321428571429 "S" 386 122 NA "Sociology BA" "Psychology BA" 3.5 20 21 17 21 20 NA NA NA "F" "D" "E" "Psychology Department" "Sociology Department" NA 118 131 131 NA
"10786" 138939 "STATS" 250 0 3.01212121212121 "S" 1260 130 NA NA NA 3.9 27 29 24 26 27 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"10787" 138952 "STATS" 250 1.7 3.08653846153846 "S" 1260 130 NA NA NA 0 26 25 24 24 25 NA NA NA "F" NA NA NA NA NA 138 NA NA NA
"10788" 138967 "STATS" 250 3.7 3.65686274509804 "S" 1260 135 NA NA NA 0 34 32 NA NA 30 700 650 1350 "M" NA NA NA NA NA 121 NA NA NA
"10789" 138993 "STATS" 250 3.3 3.39814814814815 "S" 386 118 NA NA "Neuroscience BS" 3.7 34 35 31 36 34 690 670 1360 "F" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 114 126 NA NA
"10790" 138996 "STATS" 250 4 3.68627450980392 "S" 1260 122 NA NA "Business Administration BBA" 4 29 31 30 27 30 620 610 1230 "M" NA NA "School of Business Administration" NA NA 122 135 NA NA
"10791" 139010 "STATS" 250 4 3.72758620689655 "S" 1802 126 NA NA "Psychology BA" 4 33 32 32 31 32 NA NA NA "F" NA NA "Psychology Department" NA NA 122 135 NA NA
"10792" 139027 "STATS" 250 3.3 3.80925925925926 "S" 386 122 NA NA "Nursing BS Soph Transfer" 0 24 25 27 26 25 NA NA NA "M" NA NA "School Of Nursing" NA NA 124 135 NA NA
"10793" 139037 "STATS" 250 3 3.38333333333333 "S" 1802 122 NA NA "Physics BS" 3.7 30 29 32 26 30 NA NA NA "M" NA NA "Physics Department" NA NA 118 135 NA NA
"10794" 139038 "STATS" 250 3.7 3.56666666666667 "S" 386 127 NA NA NA 4 33 30 32 29 31 680 650 1330 "F" NA NA NA NA NA 126 NA NA NA
"10795" 139072 "STATS" 250 2.7 2.82909090909091 "S" 1260 118 NA NA "Economics BA" 3.5 21 27 21 27 24 NA NA NA "M" NA NA "Economics Department" NA NA 113 127 NA NA
"10796" 139107 "STATS" 250 1.3 3.27848101265823 "S" 386 118 NA NA "Statistics BS" 3.8 23 35 NA NA 29 500 740 1240 "M" NA NA "Statistics Department" NA NA 118 131 NA NA
"10797" 139114 "STATS" 250 4 3.9 "S" 1260 134 NA NA NA 3.9 34 35 24 34 32 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"10798" 139146 "STATS" 250 3.3 3.644 "S" 1260 119 NA NA "Neuroscience BS" 3.9 NA NA NA NA NA 610 690 1300 "M" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 110 123 NA NA
"10799" 139173 "STATS" 250 3 3.30769230769231 "S" 386 130 NA NA NA 3.8 35 34 33 28 33 680 710 1390 "M" NA NA NA NA NA 126 NA NA NA
"10800" 139191 "STATS" 250 3 3.25714285714286 "S" 1802 122 NA NA "Neuroscience BS" 3.88 29 26 26 26 27 NA NA NA "F" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 118 134 NA NA
"10801" 139197 "STATS" 250 3.7 3.22151898734177 "S" 1260 131 NA NA NA 3.9 31 33 NA NA 28 650 690 1340 "F" NA NA NA NA NA 130 NA NA NA
"10802" 139200 "STATS" 250 3.3 3.79649122807018 "S" 1260 119 NA "Communication BA" "Psychology BA" 3.9 33 32 29 25 30 630 650 1280 "F" NA NA "Psychology Department" "Communication Studies" NA 114 127 127 NA
"10803" 139210 "STATS" 250 3.3 3.29871794871795 "S" 386 123 NA NA "Psychology BA" 3.7 26 28 26 26 27 650 610 1260 "F" NA NA "Psychology Department" NA NA 118 135 NA NA
"10804" 139213 "STATS" 250 2.7 3.3 "S" 1260 119 NA "History BA" "Political Science BA" 3.7 29 32 NA NA 28 610 660 1270 "M" NA NA "Political Science Department" "History Department" NA 118 131 131 NA
"10805" 139235 "STATS" 250 2.7 3.26323529411765 "S" 1802 130 NA NA NA 3.7 32 33 33 33 33 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"10806" 139256 "STATS" 250 3 3.52727272727273 "S" 1802 130 NA NA NA 3.8 32 32 30 31 31 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10807" 139270 "STATS" 250 3 2.91410256410256 "S" 386 123 NA NA "Biology BS" 3.8 24 32 25 27 27 570 630 1200 "M" NA NA "Biology Department" NA NA 118 134 NA NA
"10808" 139304 "STATS" 250 1.3 2.4758064516129 "S" 1260 119 NA NA "Biopsych, Cognit & Neurosci BS" 0 NA NA NA NA NA NA NA NA "M" NA NA "Psychology Department" NA NA 115 127 NA NA
"10809" 139309 "STATS" 250 3.7 3.40833333333333 "S" 386 130 NA NA "Environment BA" 3.9 30 31 30 26 29 NA NA NA "F" NA NA "Program in the Environment" NA NA 122 135 NA NA
"10810" 139312 "STATS" 250 3.7 3.60697674418605 "S" 1802 122 NA NA NA 0 34 33 NA NA 32 740 790 1530 "M" NA NA NA NA NA 122 NA NA NA
"10811" 139316 "STATS" 250 1.7 2.25172413793103 "S" 1260 127 NA NA NA 0 27 31 30 30 29 NA NA NA "M" NA NA NA NA NA 124 NA NA NA
"10812" 139318 "STATS" 250 2.3 3.43877551020408 "S" 386 130 NA NA "General Studies BGS" 4 21 19 23 22 22 NA NA NA "M" NA NA "College of Literature, Science, and the Arts" NA NA 114 131 NA NA
"10813" 139334 "STATS" 250 4 3.85 "S" 1260 126 NA "Information BS" "Program in Entrepreneurship" 3.7 35 30 30 31 31 660 690 1350 "F" NA NA "CoE Ctr for Entrepreneurship" "School of Information" NA 122 134 134 NA
"10814" 139338 "STATS" 250 0 2.2752380952381 "S" 1260 126 NA NA "History BA" 0 21 19 19 18 19 NA NA NA "M" NA NA "History Department" NA NA 119 131 NA NA
"10815" 139338 "STATS" 250 0 2.21515151515151 "S" 386 123 NA NA "History BA" 0 21 19 19 18 19 NA NA NA "M" NA NA "History Department" NA NA 119 131 NA NA
"10816" 139370 "STATS" 250 3.7 3.63214285714286 "S" 1446 135 NA NA NA 3.5 32 29 36 36 34 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"10817" 139415 "STATS" 250 1.7 3.31851851851852 "S" 1260 127 NA NA "Environment BA" 3.9 26 27 28 24 27 NA NA NA "F" NA NA "Program in the Environment" NA NA 114 129 NA NA
"10818" 139425 "STATS" 250 3.3 3.15952380952381 "S" 1260 118 NA NA "Political Science BA" 3.4 28 29 NA NA 26 640 620 1260 "F" NA NA "Political Science Department" NA NA 114 127 NA NA
"10819" 139450 "STATS" 250 1.3 2.58888888888889 "S" 1260 122 NA NA "General Studies BGS" 3.1 28 25 36 31 30 800 670 1470 "M" NA "G" "College of Literature, Science, and the Arts" NA NA 114 127 NA NA
"10820" 139453 "STATS" 250 3.7 3.58048780487805 "S" 1260 123 NA NA "Neuroscience BS" 3.9 33 32 29 25 30 NA NA NA "F" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 122 135 NA NA
"10821" 139485 "STATS" 250 4 3.61538461538462 "S" 1260 131 NA NA NA 3.9 30 34 27 33 31 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"10822" 139494 "STATS" 250 2.7 2.89090909090909 "S" 1260 118 NA "Economics BA" "International Studies BA" 2.8 19 21 23 25 22 NA NA NA "F" "D" "E" "International Institute" "Economics Department" NA 113 127 127 NA
"10823" 139499 "STATS" 250 3.7 3.23333333333333 "S" 386 126 NA NA "Arab,Arm,Pers,Turk & Islamic S" 3.9 26 26 NA NA 26 650 630 1280 "M" NA NA "Near Eastern Studies Department" NA NA 114 127 NA NA
"10824" 139504 "STATS" 250 3 3.13103448275862 "S" 386 131 NA NA NA 3.9 30 26 29 26 28 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"10825" 139507 "STATS" 250 4 3.67586206896552 "S" 1260 130 NA NA NA 3.9 34 26 23 23 27 NA NA NA "F" "E" NA NA NA NA 126 NA NA NA
